SMILES,molaff,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MinPartialCharge,PEOE_VSA2,NumRotatableBonds
Oc1cc(OC)cc(c12)oc(c(c2=O)O)-c3ccc(O)cc3,-4.6942,13.09208896,0.710155935,0.672310813,-0.507966213,4.794537184,6
COc(cc1)ccc1-c(c(c2=O)OC)oc(c23)cc(O)cc3O,-3.6274,13.36317458,0.835119336,0.772459795,-0.507678166,4.794537184,7
Oc1cc(OC)cc(c12)oc(c(c2=O)O)-c3ccc(cc3)OC,-5.0002,13.17917574,0.810070901,0.772459795,-0.506890475,4.794537184,7
COc(cc1)ccc1-c(c(c2=O)O)oc(c23)cc(O)cc3O,-4.7143,13.04650792,0.713508721,0.672310813,-0.507678166,4.794537184,6
c1cccc(c1c23)n4c2c(ccc4=O)[nH+]cc3,-5.2637,12.62215608,0.110092593,0.446126728,-0.269862968,9.19523179,0
O=Cc1cc(OC)c(O)cc1,-5.8842,11.01618292,0.767476852,0.647743857,-0.504254323,4.794537184,4
COc1ccccc1,-4.8658,7.367824074,0.589914966,0.531625315,-0.496768569,0,2
[O-]C(=O)[C@@H](C1)[NH2+][C@@H](C)c(c1c23)[nH]c2cccc3,-4.3766,11.8818245,0.004622071,0.690755037,-0.54388753,0,2
O=C1O[C@@](C([O-])=O)(CC2)C(C)(C)[C@]12C,-4.8972,12.54638889,2.292523148,0.548531397,-0.545767687,4.794537184,4
CC(=O)c1c(C([O-])=O)cccc1,-4.4672,11.62655707,0.883063114,0.587102598,-0.544789838,4.794537184,3
[O-]C(=O)CCC(=O)Nc(c1C([O-])=O)cccc1,-3.4064,12.1172123,0.649050926,0.668788052,-0.550156314,4.794537184,5
COc(cc1)ccc1-c(c2=O)coc(c23)cc(O)cc3O,-3.9833,13.26623732,0.674203165,0.756009917,-0.507678171,4.794537184,5
COc(cc1)c(OC)cc1-c(c2=O)coc(c23)cc(O)cc3O,-6.2067,13.46076739,0.745621632,0.772459795,-0.507678171,4.794537184,7
c1ccc(OC)c(c12)oc3c(c2=O)cccc3,-5.1871,12.85809996,0.542625661,0.598693197,-0.492818201,4.794537184,2
COc(cc1)cc(O)c1C(=O)/C=C/c2c(OC)cc(cc2)OC,-3.5806,13.21995581,1.069670214,0.654355122,-0.507041101,4.794537184,10
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)Oc(cc2)ccc2-c(c3=O)coc(c34)cc(OC)cc4O,-4.7808,13.84689991,0.970138187,0.370156193,-0.506892742,4.794537184,11
COc(cc1)ccc1-c(c2=O)coc(c23)cc(O)cc3,-3.3041,13.15068177,0.634619832,0.775102982,-0.507821985,4.794537184,4
COc(cc1)ccc1/C=C(/C2=O)Oc(c23)cc(O)cc3,-5.1989,12.79095236,0.557258721,0.850522362,-0.50782198,4.794537184,4
c1cc(O)cc(c12)oc(C)c(c2=O)-c3ccccc3,-5.6449,13.31292328,0.717026644,0.721001232,-0.507821983,4.794537184,3
c1cc(O)cc(c12)occ(c2=O)-c3ccccc3,-1.9775,12.99625661,0.574660389,0.707998048,-0.507821985,4.794537184,2
COc(cc1)ccc1C(=O)/C=C/c2ccccc2,-4.4903,12.78426489,0.751076703,0.600695037,-0.496767786,4.794537184,5
CC(=O)Oc(cc1)cc(c12)oc(=O)cc2C,-5.6038,11.74832609,0.654367914,0.417186941,-0.426587178,4.794537184,3
CC(=O)c1c(O)cc(O)cc1,-5.1179,11.67064153,0.699683485,0.596103276,-0.50782252,4.794537184,4
[O-]C(=O)c1cc(Cl)c(c(Cl)c1)OC,-3.8867,10.72324763,0.60525463,0.755512509,-0.544813264,0,3
COc1c(OC)ccc(c12)C[C@H]3c4c(CC[N@@H+]3C2)cc(OC)c(c4)OC,-3.8285,9.602657313,1.488999474,0.909381132,-0.492859142,0,8
[O-]C(=O)c1c(NC)cccc1,-2.6304,10.9370616,0.240092593,0.649709658,-0.544733299,0,3
O=c1cc[nH]c(=O)[nH]1,-4.7401,10.7337037,0.010648148,0.454693981,-0.314118037,9.771540454,0
[O-]C(=O)c1cc(OC)c(O)c(c1)OC,-5.7796,11.0467243,1.030324074,0.723772919,-0.544810298,0,6
[O-]C(=O)c(c1)ccc(c12)C(=O)c3c(C2=O)cccc3,-5.3075,12.77126228,0.664814815,0.641525374,-0.54481472,9.589074368,1
O=Cc1cc(OC)c(cc1)O[C@H](O2)[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO,-4.7878,11.68505458,1.208370071,0.493473642,-0.492842465,4.794537184,10
OC[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)Oc(cc2)cc(c23)occ(c3=O)-c4ccc(cc4)OC,-6.3097,13.81955343,0.95928733,0.459352468,-0.496767818,4.794537184,10
c1c(O)c(O)cc(C2)c1[C@@H]([C@]23O)c4c(OC3)c(O)c(O)cc4,-2.503,9.413817082,0.880477264,0.469461336,-0.504253051,0,5
COc(cc1)ccc1\C=C\C(=O)/C=C/c2ccc(cc2)OC,-4.976,12.80534387,0.929639261,0.755405006,-0.496767824,4.794537184,8
Oc1ccc(O)c(c12)C(=O)c3c(C2=O)cccc3,-5.2611,12.87670824,0.625128496,0.588111089,-0.507154174,9.589074368,2
[O-]C(=O)[C@@H]([NH3+])Cc(cc1I)cc(I)c1[O-],-2.2827,11.80181524,0.3049863,0.61398039,-0.871031875,0,4
[O-]C(=O)/C=C/c1ccc(cc1)OC,-4.1313,10.5693386,0.761952003,0.629967287,-0.545466972,0,4
Oc1cc(OC)cc(c12)oc(cc2=O)-c3ccccc3,-4.7732,12.87982044,0.637980009,0.775102982,-0.506893157,4.794537184,4
COc(cc1)ccc1-c(cc2=O)oc(c23)ccc(c3)O,-5.4604,12.77782311,0.639249461,0.775102982,-0.507937005,4.794537184,4
Oc1cc(O)cc(c12)oc(c(c2=O)O)-c3cc(O)c(O)cc3,-1.8358,13.00755,0.684876228,0.43419044,-0.507678166,4.794537184,6
c1cccc(c12)oc(c([O-])c2=O)-c3ccccc3,-3.2789,12.45998016,0.632026644,0.653095564,-0.867282839,4.794537184,1
[O-]C(=O)c1c(C=O)cccc1,-5.0854,10.8348904,0.758703704,0.54980738,-0.544790027,4.794537184,2
[O-]C(=O)/C=C/c1cc(OC)c(OC)c(c1)OC,-2.769,10.87818891,1.096674225,0.696441062,-0.545466972,0,8
[O-]C(=O)/C=C/c1ccc([N+]([O-])=O)cc1,-4.2163,10.66914704,0.805740741,0.392850961,-0.545466972,10.11431827,3
C/C=C/c1cc(OC)c(cc1)OC,-4.1146,7.977824074,0.876604781,0.708131579,-0.492869565,0,6
Cc1[n+]2ccc(cc(OC)c(c3)OC)c3c2cc(c14)cc(OC)c(c4)OC,-4.1318,9.095481387,0.365186366,0.310886816,-0.492846469,0,9
C1C(=O)C=C(C)CC1(C)C,-4.29,12.16363426,1.574884259,0.501755282,-0.294844131,4.794537184,3
c1cccc(c1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO,-3.342,8.556324641,1.109596923,0.449993404,-0.461604636,0,9
CC(=O)OC[C@](C)(O)[C@@H](C1)Oc(c12)nc3c(c2OC)cccc3,-3.6049,12.08393168,0.803550477,0.867378464,-0.49555048,4.794537184,8
c1cccc(c12)oc(cc2=O)-c3ccc(O)cc3,-4.5763,12.60825334,0.5545215,0.707998048,-0.507966213,4.794537184,2
COc(cc1)cc(c12)oc(cc2=O)-c3ccccc3,-4.6358,12.76426489,0.616508921,0.700686311,-0.496623594,4.794537184,3
c12c3c4c(=O)oc2c(O)c(O)cc1c(=O)oc3c(O)c(c4)O,-2.3428,12.52018613,0.238675359,0.216284536,-0.504142834,0,4
Oc1cc(O)cc(c12)oc(cc2=O)-c3cc(O)c(O)cc3,-5.7337,12.8338,0.645292895,0.510622347,-0.507678166,4.794537184,5
COc(c1)c(O)cc(c12)oc(=O)cc2,-2.674,11.40301359,0.449398148,0.695448164,-0.504161507,0,3
c1cc(=O)oc(c12)cc(O)c(c2)O,-2.7236,11.29671729,0.32162037,0.469412302,-0.504242326,0,2
C/C=C/c1cc(OC)c(O)cc1,-4.7981,7.873657407,0.776689815,0.726992658,-0.504254344,0,5
[O-]C(=O)CCCNC(=O)N,-3.6291,11.03012897,0.740576814,0.455956738,-0.550170663,0,4
NC(=O)C[N+](C)(C)C,-4.5638,11.56152778,0.892638889,0.47162465,-0.364773282,4.794537184,5
OCc1cc(=O)c(co1)O,-5.3111,11.30808485,0.824508692,0.571034496,-0.501987779,4.794537184,3
c1cc(=O)oc(c12)cc(O)cc2,-2.3036,11.24858844,0.282037037,0.596944616,-0.507822001,0,1
